,STREET_NAME,TOSTREET,FROMSTREET
787,SHORE PKWY GREENWAY,2,12
788,SHORE PKWY SR,4,1
789,SHORE PKWY SR N,28,4
790,SHORE PKWY SR S,8,11
791,SHORE RD,66,1
792,SHORE RD GREENWAY,28,8
793,SI FERRY TML,25,1
794,SIGNS RD,15,10
795,SIMPSON ST,10,5
796,SKILLMAN AVE,9,20
797,SMITH ST,13,10
798,SNUG HARBOR RD,4,1
799,SOUNDVIEW PARK GREENWAY,5,3
800,SOUTH ACCESS RD,1,2
801,SOUTH BEACH GREENWAY,4,1
802,SOUTH COUNTY TRAILWAY,4,1
803,SOUTHERN BL,1,8
804,SOUTHERN BLVD,19,2
805,SOUTH SERVICE RD,1,8
806,SPOFFORD AVE,5,6
807,STAFFORD AV,11,3
808,STAFF ST,7,4
809,ST ANNS AV,1,2
810,STARLIGHT PARK,8,1
811,STARR AV,3,1
812,STATE RD,1,1
813,STATION RD,1,4
814,ST CLAIRE PL,4,1
815,STERLING PL,13,1
816,STEUBEN ST,19,3
817,ST FELIX ST,3,5
818,ST GEORGE FERRY TERMINAL,2,1
819,ST JOHN'S PL,3,9
820,ST JOHNS PL,7,15
821,ST MARKS AV,2,2
822,ST NICHOLAS AV,29,4
823,ST NICHOLAS PL,6,8
824,STRONG ST,2,2
825,SULLIVAN ST,2,1
826,SUMMIT ST,18,13
827,SURF AV,2,18
828,SUTPHIN BLVD,5,7
829,SUTTON PL S,1,2
830,SWINNERTON ST,11,3
831,SYLVAN AV,1,1
832,TAYLOR AV,1,1
833,TER DR,1,11
834,THOMPSON ST,10,15
835,TIBBETT AV,2,14
836,TILLARY ST,46,1
837,TOMPKINS AV,1,1
838,TOTTEN AV,16,10
839,TRIBOROUGH BR,26,4
840,TRUXTON ST,9,14
841,UNDERHILL AV,9,4
842,UNDERHILL AV PED OVPS,1,20
843,UNION SQ E,3,2
844,UNION SQ W,3,2
845,UNION ST,21,4
846,UNION STREET,2,12
847,UNION TP,25,1
848,UNION TPKE,2,1
849,UNIVERSITY BLVD,3,17
850,UNNAMED ST,54,2
851,USS N CAROLINA RD,33,1
852,UTICA AV,40,14
853,UTOPIA PKWY,9,1
854,VALENTINE PLACE,1,12
855,VAN BRUNT ST,14,9
856,VAN CORTLAND PARK GREENWAY,1,4
857,VAN CORTLANDT AVE E,244,1
858,VAN CORTLANDT PARK GREENWAY,3,43
859,VAN CORTLANDT PK S,20,31
860,VANDALIA AVE,5,40
861,VANDERBILT AV,3,8
862,VANDERBILT MOTOR PKWY,8,9
863,VAN DYKE ST,2,8
864,VAN WYCK EXPWY,14,7
865,VAN WYCK EXWY SB EN NORTHERN BLV,1,7
866,VAN WYCK EXWY SR E,1,22
867,VARICK ST,6,1
868,VERMONT PL,8,1
869,VERNON BLVD,35,6
870,VERONA ST,4,2
871,VESEY ST,1,7
872,VETERANS RD W,1,1
873,VICTORY BLVD,12,9
874,W 100 ST,61,15
875,W 107 ST,35,1
876,W 109 ST,42,2
877,W 118 ST,19,9
878,W 125 ST,1,3
879,W 132 ST,9,5
880,W 133 ST,30,19
881,W 135 ST,1,2
882,W 145 ST,12,12
883,W 150 ST,40,22
884,W 151 ST,1,2
885,W 155 ST,7,2
886,W 155 ST PED OVPS,1,3
887,W 160 ST,2,11
888,W 162 ST,44,2
889,W 165 ST,5,1
890,W 168 ST,7,6
891,W 169 ST,8,1
892,W 16 ST,3,3
893,W 176 ST,20,7
894,W 177 ST,20,1
895,W 178 STREET,3,1
896,W 17 ST,26,4
897,W 181 ST,9,7
898,W 181 ST PED OV,2,68
899,W 182 ST,8,3
900,W 183 ST,1,18
901,W 190 ST,1,13
902,W 204 ST,4,6
903,W 205 STREET,1,1
904,W 20 ST,2,1
905,W 214 ST,1,1
906,W 216 ST,11,31
907,W 218 ST,23,42
908,W 227 ST,3,1
909,W 228 ST,2,4
910,W 22 ST,1,36
911,W 230 ST,3,9
912,W 240 ST,41,1
913,W 242 ST,4,6
914,W 26 ST,10,36
915,W 31 ST,22,19
916,W 33 ST,31,1
917,W 35 ST,7,4
918,W 37 ST,33,1
919,W 39 ST,32,21
920,W 3 ST,4,6
921,W 42 ST,45,24
922,W 43 ST,1,17
